"X","Y","DateTime","EpochTime"
"305.8203","215.2111","2017-09-22 00:25:26.392","1506054326392"
"306.1557","215.9554","2017-09-22 00:25:26.413","1506054326413"
"309.0924","205.1254","2017-09-22 00:25:26.447","1506054326447"
"307.7774","203.8116","2017-09-22 00:25:26.494","1506054326494"
"306.945","203.2351","2017-09-22 00:25:26.517","1506054326517"
"306.8614","201.7801","2017-09-22 00:25:26.548","1506054326548"
"306.7891","200.8451","2017-09-22 00:25:26.580","1506054326580"
"306.4023","200.8552","2017-09-22 00:25:26.612","1506054326612"
"306.5985","200.2489","2017-09-22 00:25:26.646","1506054326646"
"305.4884","202.6974","2017-09-22 00:25:26.679","1506054326679"
"305.6705","202.7246","2017-09-22 00:25:26.712","1506054326712"
"306.7427","200.91","2017-09-22 00:25:26.745","1506054326745"
"306.8592","201.0695","2017-09-22 00:25:26.779","1506054326779"
"307.6686","199.7787","2017-09-22 00:25:26.812","1506054326812"
"308.4246","198.6791","2017-09-22 00:25:26.845","1506054326845"
"308.2336","201.309","2017-09-22 00:25:26.878","1506054326878"
"308.65","200.848","2017-09-22 00:25:26.912","1506054326912"
"308.343","203.4677","2017-09-22 00:25:26.945","1506054326945"
"308.4392","206.8765","2017-09-22 00:25:26.978","1506054326978"
"308.2253","208.0627","2017-09-22 00:25:27.043","1506054327043"
"307.8421","210.6701","2017-09-22 00:25:27.046","1506054327046"
"307.4192","213.2706","2017-09-22 00:25:27.079","1506054327079"
"306.8118","215.7648","2017-09-22 00:25:27.116","1506054327116"
"306.126","218.3396","2017-09-22 00:25:27.146","1506054327146"
"305.2058","219.9189","2017-09-22 00:25:27.178","1506054327178"
"302.3713","223.4687","2017-09-22 00:25:27.212","1506054327212"
"466.0353","357.23","2017-09-22 00:25:27.247","1506054327247"
"473.5945","358.5434","2017-09-22 00:25:27.280","1506054327280"
"472.2516","360.5558","2017-09-22 00:25:27.311","1506054327311"
"474.1437","360.5361","2017-09-22 00:25:27.344","1506054327344"
"471.6128","361.102","2017-09-22 00:25:27.378","1506054327378"
"472.1781","362.7909","2017-09-22 00:25:27.412","1506054327412"
"463.1421","375.8429","2017-09-22 00:25:27.445","1506054327445"
"442.2498","369.463","2017-09-22 00:25:27.478","1506054327478"
"440.5673","370.0639","2017-09-22 00:25:27.512","1506054327512"
"440.19","372.0017","2017-09-22 00:25:27.545","1506054327545"
"439.451","372.1075","2017-09-22 00:25:27.578","1506054327578"
"435.4439","370.5817","2017-09-22 00:25:27.611","1506054327611"
"435.5019","370.0038","2017-09-22 00:25:27.644","1506054327644"
"430.3239","368.1526","2017-09-22 00:25:27.678","1506054327678"
"0.0","0.0","2017-09-22 00:25:27.711","1506054327711"
"0.0","0.0","2017-09-22 00:25:27.744","1506054327744"
"0.0","0.0","2017-09-22 00:25:27.777","1506054327777"
"428.8607","366.6096","2017-09-22 00:25:27.811","1506054327811"
"250.6418","284.1999","2017-09-22 00:25:27.844","1506054327844"
"255.5224","278.8873","2017-09-22 00:25:27.878","1506054327878"
"256.1903","281.6675","2017-09-22 00:25:27.911","1506054327911"
"256.7308","280.5782","2017-09-22 00:25:27.944","1506054327944"
"256.5089","276.6832","2017-09-22 00:25:27.978","1506054327978"
"257.163","274.4883","2017-09-22 00:25:28.011","1506054328011"
"256.6584","250.0586","2017-09-22 00:25:28.044","1506054328044"
"260.9404","248.3456","2017-09-22 00:25:28.077","1506054328077"
"257.861","246.4754","2017-09-22 00:25:28.111","1506054328111"
"258.568","244.4192","2017-09-22 00:25:28.144","1506054328144"
"261.9198","242.2166","2017-09-22 00:25:28.177","1506054328177"
"264.9061","241.4282","2017-09-22 00:25:28.211","1506054328211"
"267.3552","239.6336","2017-09-22 00:25:28.244","1506054328244"
"269.8309","239.7988","2017-09-22 00:25:28.278","1506054328278"
"272.0058","241.4748","2017-09-22 00:25:28.311","1506054328311"
"274.4634","240.9938","2017-09-22 00:25:28.344","1506054328344"
"276.9859","240.7641","2017-09-22 00:25:28.377","1506054328377"
"279.5479","240.9196","2017-09-22 00:25:28.410","1506054328410"
"282.0612","240.7217","2017-09-22 00:25:28.444","1506054328444"
"284.5749","241.8764","2017-09-22 00:25:28.477","1506054328477"
"286.9692","242.2469","2017-09-22 00:25:28.510","1506054328510"
"289.2531","242.2729","2017-09-22 00:25:28.543","1506054328543"
"291.4431","242.5909","2017-09-22 00:25:28.577","1506054328577"
"293.5995","242.9723","2017-09-22 00:25:28.611","1506054328611"
"295.7199","243.1456","2017-09-22 00:25:28.644","1506054328644"
"297.7946","243.3648","2017-09-22 00:25:28.677","1506054328677"
"299.824","243.615","2017-09-22 00:25:28.710","1506054328710"
"301.8259","243.9335","2017-09-22 00:25:28.744","1506054328744"
"303.7875","244.3705","2017-09-22 00:25:28.777","1506054328777"
"307.1131","245.2782","2017-09-22 00:25:28.810","1506054328810"
"593.6918","345.474","2017-09-22 00:25:28.843","1506054328843"
"553.4165","303.1047","2017-09-22 00:25:28.876","1506054328876"
"555.5931","306.3955","2017-09-22 00:25:28.911","1506054328911"
"559.4987","307.9277","2017-09-22 00:25:28.944","1506054328944"
"562.009","309.0673","2017-09-22 00:25:28.977","1506054328977"
"558.7623","302.8737","2017-09-22 00:25:29.010","1506054329010"
"0.0","0.0","2017-09-22 00:25:29.044","1506054329044"
"0.0","0.0","2017-09-22 00:25:29.077","1506054329077"
"0.0","0.0","2017-09-22 00:25:29.110","1506054329110"
"0.0","0.0","2017-09-22 00:25:29.143","1506054329143"
"439.5746","424.452","2017-09-22 00:25:29.176","1506054329176"
"556.8365","172.685","2017-09-22 00:25:29.209","1506054329209"
"529.5843","184.1478","2017-09-22 00:25:29.244","1506054329244"
"493.383","241.0468","2017-09-22 00:25:29.277","1506054329277"
"481.8651","250.5063","2017-09-22 00:25:29.310","1506054329310"
"477.7139","244.445","2017-09-22 00:25:29.343","1506054329343"
"498.5379","379.8304","2017-09-22 00:25:29.376","1506054329376"
"448.3873","376.6105","2017-09-22 00:25:29.410","1506054329410"
"451.3607","376.4647","2017-09-22 00:25:29.443","1506054329443"
"463.0791","375.1763","2017-09-22 00:25:29.476","1506054329476"
"460.7834","371.1623","2017-09-22 00:25:29.509","1506054329509"
"460.5064","369.1594","2017-09-22 00:25:29.543","1506054329543"
"460.7935","360.924","2017-09-22 00:25:29.576","1506054329576"
"451.7585","354.5953","2017-09-22 00:25:29.609","1506054329609"
"453.9126","357.7741","2017-09-22 00:25:29.642","1506054329642"
"452.14","357.8886","2017-09-22 00:25:29.676","1506054329676"
"449.495","355.9529","2017-09-22 00:25:29.710","1506054329710"
"473.1429","334.4562","2017-09-22 00:25:29.743","1506054329743"
"585.3582","233.4503","2017-09-22 00:25:29.776","1506054329776"
"576.8636","295.5147","2017-09-22 00:25:29.810","1506054329810"
"580.9824","292.1246","2017-09-22 00:25:29.843","1506054329843"
"580.1107","297.6107","2017-09-22 00:25:29.876","1506054329876"
"580.838","307.6956","2017-09-22 00:25:29.910","1506054329910"
"579.4112","301.124","2017-09-22 00:25:29.942","1506054329942"
"579.611","296.7724","2017-09-22 00:25:29.976","1506054329976"
"580.316","302.0028","2017-09-22 00:25:30.009","1506054330009"
"581.3346","305.6523","2017-09-22 00:25:30.043","1506054330043"
"574.7225","302.3963","2017-09-22 00:25:30.075","1506054330075"
"330.0563","329.5292","2017-09-22 00:25:30.112","1506054330112"
"286.0505","339.779","2017-09-22 00:25:30.142","1506054330142"
"289.8548","325.709","2017-09-22 00:25:30.175","1506054330175"
"289.4966","325.8871","2017-09-22 00:25:30.209","1506054330209"
"289.5431","326.4749","2017-09-22 00:25:30.242","1506054330242"
"289.0558","323.6473","2017-09-22 00:25:30.276","1506054330276"
"319.0379","335.8177","2017-09-22 00:25:30.309","1506054330309"
"302.5764","324.1429","2017-09-22 00:25:30.343","1506054330343"
"298.1078","325.1574","2017-09-22 00:25:30.376","1506054330376"
"295.874","326.8333","2017-09-22 00:25:30.409","1506054330409"
"302.0969","332.0981","2017-09-22 00:25:30.442","1506054330442"
"306.3209","331.4599","2017-09-22 00:25:30.476","1506054330476"
"310.413","330.8515","2017-09-22 00:25:30.509","1506054330509"
"315.9341","332.4819","2017-09-22 00:25:30.542","1506054330542"
"319.1488","331.6256","2017-09-22 00:25:30.575","1506054330575"
"321.6565","330.1758","2017-09-22 00:25:30.608","1506054330608"
"325.7697","331.124","2017-09-22 00:25:30.642","1506054330642"
"328.527","330.7512","2017-09-22 00:25:30.676","1506054330676"
"331.008","330.3132","2017-09-22 00:25:30.709","1506054330709"
"333.3334","330.017","2017-09-22 00:25:30.742","1506054330742"
"335.6929","329.2649","2017-09-22 00:25:30.775","1506054330775"
"338.1797","328.6518","2017-09-22 00:25:30.809","1506054330809"
"340.2417","326.9574","2017-09-22 00:25:30.842","1506054330842"
"345.8442","327.012","2017-09-22 00:25:30.875","1506054330875"
"352.2832","326.7191","2017-09-22 00:25:30.909","1506054330909"
"358.5112","326.6099","2017-09-22 00:25:30.942","1506054330942"
"363.4229","326.375","2017-09-22 00:25:30.975","1506054330975"
"369.5924","326.5639","2017-09-22 00:25:31.008","1506054331008"
"376.4301","325.8196","2017-09-22 00:25:31.041","1506054331041"
"476.0903","323.0666","2017-09-22 00:25:31.075","1506054331075"
"475.6045","322.817","2017-09-22 00:25:31.108","1506054331108"
"473.159","325.1575","2017-09-22 00:25:31.142","1506054331142"
"475.1404","325.3057","2017-09-22 00:25:31.175","1506054331175"
"476.7022","325.4216","2017-09-22 00:25:31.208","1506054331208"
"477.5156","325.8131","2017-09-22 00:25:31.242","1506054331242"
"478.8284","326.361","2017-09-22 00:25:31.275","1506054331275"
"479.7871","327.8977","2017-09-22 00:25:31.308","1506054331308"
"481.4519","329.2101","2017-09-22 00:25:31.342","1506054331342"
"483.6656","330.3928","2017-09-22 00:25:31.375","1506054331375"
"494.8729","326.9993","2017-09-22 00:25:31.408","1506054331408"
"502.9436","323.7761","2017-09-22 00:25:31.442","1506054331442"
"504.4012","325.3225","2017-09-22 00:25:31.475","1506054331475"
"511.6494","322.0244","2017-09-22 00:25:31.508","1506054331508"
"513.0787","323.345","2017-09-22 00:25:31.541","1506054331541"
"518.7979","320.6989","2017-09-22 00:25:31.574","1506054331574"
"520.1845","321.9556","2017-09-22 00:25:31.608","1506054331608"
"524.6841","319.7791","2017-09-22 00:25:31.642","1506054331642"
"526.1397","320.8557","2017-09-22 00:25:31.675","1506054331675"
"527.7162","321.894","2017-09-22 00:25:31.708","1506054331708"
"531.4935","320.3206","2017-09-22 00:25:31.742","1506054331742"
"270.1684","338.924","2017-09-22 00:25:31.775","1506054331775"
"274.0353","337.6075","2017-09-22 00:25:31.808","1506054331808"
"277.5305","337.1759","2017-09-22 00:25:31.841","1506054331841"
"276.4845","340.3351","2017-09-22 00:25:31.874","1506054331874"
"275.6151","342.3338","2017-09-22 00:25:31.907","1506054331907"
"275.4196","345.5249","2017-09-22 00:25:31.941","1506054331941"
"247.2907","355.6042","2017-09-22 00:25:31.974","1506054331974"
"281.3394","354.821","2017-09-22 00:25:32.007","1506054332007"
"287.3932","354.6647","2017-09-22 00:25:32.041","1506054332041"